"","x"
"ABCC1",-0.424734319148964
"ACOT9",0.428769350898954
"ACTN4",0.0784206421507515
"ADAM19",-0.223222084006503
"ADAM8",0.651447038303927
"AGFG2",0.760951355054981
"AHNAK",-0.487224338891625
"AHR",-0.153436762414464
"AKIRIN2",0.363064604674057
"AKT3",0.234225332897006
"ANXA1",1.03689493946511
"ANXA4",0.0304229663208333
"AQP3",-0.486970294546364
"ARF3",-0.44472141593083
"ARHGAP18",-0.286208548937655
"ARHGDIA",0.448627802960607
"ARID5B",0.144632867957354
"ARNTL",-0.404658571829828
"ATP2A2",-0.637447312335775
"ATP2B4",-0.280811103263503
"ATXN1",-0.0258363636604687
"AUTS2",0.272463500498787
"BATF",1.05649136362063
"C16orf87",-0.67315020251244
"CAPNS1",0.194752273153636
"CASK",-0.563691570587494
"CAST",-0.379072790332815
"CBLL1",-0.628608472017642
"CCR10",2.08319667284945
"CCR2",1.07128181242427
"CCR6",0.85484617329756
"CD2",1.3693710757025
"CD58",0.0206916716361639
"CD63",0.527931549735163
"CD74",0.832095567165741
"CD82",1.1586197917341
"CD84",-0.673003868970301
"CDC42EP3",0.487367930539633
"CHST12",1.39155913328121
"CHST7",1.50190495662474
"CLDND1",0.0364759905950612
"CLIC1",0.338921412454832
"COTL1",0.739636225329103
"CRIP1",0.371313552342089
"CTNNA1",-0.287707454204844
"CTSA",0.311448201712337
"CTSC",0.569836202904642
"CXCR3",2.02663388930323
"DEGS1",0.380851930774501
"DENND1B",-1.32043310144326
"DPY19L1",-0.254527687008809
"DUSP10",0.0362045360395782
"DUSP5",-0.318305671783298
"EEPD1",1.09343836418839
"EFHD2",0.973806459754537
"EHD4",0.0473374982453882
"EIF2AK1",-0.483476707573691
"EIF4EBP2",-0.265580298476474
"ELOVL5",-1.35085454813297
"ENTPD1",0.0284878109058334
"EPHA4",0.229906216969174
"EVI2B",0.389430508396714
"EZR",-0.210420629770659
"F5",-0.536248841294448
"FAM129A",-0.319862651325478
"FAM53B",0.732388605879197
"FAM58A",0.553650714623324
"FAR2",-0.917132066990915
"FAS",0.722576930701617
"FBXL8",1.34389827999309
"FBXW7",0.00502222819256852
"FXYD7",2.41487862511835
"GALNT10",-0.418774950146006
"GOLGA7",-0.420791813927996
"GPR183",1.07953486532466
"GPR65",-0.0244027355430946
"GPR68",0.227370153306779
"GPRIN3",-1.0784399960911
"HERPUD1",0.281763342269795
"HLA-DRB1",1.12891023310863
"IFFO2",0.412931571141759
"IFI16",0.369883915205604
"IL10RA",1.23870418643826
"IQGAP1",-0.544103108489574
"IQGAP2",0.0138070340191107
"ITGB1",-0.424418145707887
"ITPK1",0.196138751520957
"KIAA1324",-0.47313721079149
"KIF1B",-0.774804155016895
"KLHL5",-0.604155752802474
"KLRB1",2.03891042715628
"LGALS1",0.85024757343132
"LGALS3",0.85965685237554
"LIMS1",-1.11633245773026
"LPP",-1.38368284120546
"MAF",0.911884959297714
"MAP3K1",-0.201648292545254
"MAP3K5",0.208440488679019
"MED15",0.681145663713779
"MIAT",1.14990792513505
"MICAL2",-0.844093479609921
"MLF1",-0.136945198994419
"MLLT4",-0.801590258118671
"MPRIP",0.430470952463736
"MYBL1",-0.941652819728393
"MYO1F",1.17090455330968
"MYO5A",-0.54891331229668
"NBEAL2",0.519114884722244
"NCOA7",0.641412045709855
"NDC80",-0.970285465757771
"NOD2",0.182741230538106
"OGDH",-0.0471545034551137
"OSBPL11",-0.530838914403921
"OSBPL3",-0.0736695530281829
"PAPSS1",-0.34183451390329
"PARP4",-0.468912371071842
"PDP1",-0.0987494791854028
"PEA15",0.134279082779969
"PFKP",0.839976822703846
"PHACTR2",-0.165316118908799
"PICALM",-0.407309422264704
"PPM1G",0.0606657494973538
"PRDM1",0.129375441808356
"PRKCD",0.00787068658456719
"PRR5L",0.297188507614169
"PSTPIP1",2.13480643393688
"PTTG1",-0.0978291059685032
"RAB11FIP1",-1.39102977998473
"RAB27A",-0.175174679494298
"RABGAP1L",-0.308356780670913
"RAP2B",0.151533412440303
"RAPGEF1",0.263358523340817
"RAPGEF2",-0.291682678564341
"REEP5",-0.383634445126309
"RGS3",0.448760695864291
"RHOU",0.378588811103067
"RILPL2",0.808030862312042
"RNF135",-0.121757612819984
"RNF19B",0.104250867111713
"RNF214",-0.338567769995131
"RORA",-0.0989054678043902
"RSU1",0.239776996869676
"RYR1",1.7108875429082
"S100A4",1.08434640655491
"SAP30",0.187534112770051
"SETD7",-0.517540932571319
"SH3BGRL3",0.799728918312582
"SH3GLB1",-0.334630546433311
"SIAH2",-0.483651033003639
"SLAMF1",1.5832495053345
"SLC6A6",-0.338232717397388
"SLC9A9",1.03055852564381
"SMAP1",-0.127664159518715
"SMC6",-0.663008876641704
"SPAG1",-1.15260113949275
"SPAG9",-0.512372189082629
"SPPL2A",-0.917930467839668
"SPSB1",0.381074779563919
"SRGN",0.659918424722114
"SSR3",-0.605765620975595
"ST8SIA1",1.66477972624602
"STOM",-0.436846958302507
"SURF4",-0.0586388452910091
"TAGLN2",0.447942912851525
"TBCB",0.524921448784985
"TERF2IP",0.00189379471561278
"TGFBR3",0.998003090565913
"TIFA",-0.035778526783096
"TIGIT",1.01778769695758
"TMEM116",-0.23331917423004
"TNFRSF4",1.94276390549668
"TOM1",0.810714911872979
"TP53INP1",-0.515155329591398
"TRIB1",-0.0362469949868936
"TSPAN17",0.363613281572241
"TSPAN5",-0.13754454669672
"TTYH2",0.563447581571548
"TUFT1",-0.27915731671589
"UBL3",-0.183970613402156
"VCL",-0.559847737532875
"VDAC1",-0.475318512896879
"VRK2",-0.915728219444887
"WEE1",-0.0208832518248275
"YWHAH",-0.106890889926025
"YWHAQ",-0.282587094115439
"ZCRB1",-0.248509046845716
"ZDHHC3",0.0332932855077992
"ZFYVE28",0.79852463251696
