Rank	ID	GeneSet	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logFC	Direction	Significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
1	bindea_gs2	Angiogenesis	38/41	5.98594982581221e-61	1.15114419727158e-60	5	3.75	2	9.70486421611282e-15	1	0.889949247276571	1	35.5186595379663	1	3	3	2	1	2	2	1	22	1	1	6
2	bindea_gs6	CD8 T cells	32/37	3.30574960995899e-106	8.26437402489749e-105	5	4	3.5	4.03117599590728e-68	1	0.78469248558069	1	55.8057591403924	8	5	1	6	6	1	1	2	6	2	8	2
3	bindea_gs8	Cytotoxic cells	16/17	8.88221072015253e-97	1.11027634001907e-95	5	4.33333333333333	4	8.38384826916736e-64	1	1.51008155371954	1	100	2	1	6	7	2	6	5	5	10	3	2	3
4	bindea_gs9	DC	7/7	5.91724064894995e-93	3.69827540559372e-92	5	5.25	5	5.02038017781423e-66	2	1.54215758138192	1	98.2909901420088	6	2	2	8	3	7	4	4	7	10	5	5
5	bindea_gs5	B cells	28/33	2.05540949642916e-96	1.7128412470243e-95	10	8	8.5	7.52859868277162e-74	3	1.39615104866308	1	92.0649518039688	5	10	4	5	8	10	9	9	5	19	3	9
6	bindea_gs25	Tem cells	12/15	2.33992730510339e-65	4.87484855229873e-65	5	8.08333333333333	6	5.25379551911111e-38	3	0.721287087502503	1	30.5381848027971	10	4	7	21	10	5	3	3	14	4	12	4
7	bindea_gs22	T cells	16/19	2.3199315868023e-65	4.87484855229873e-65	10	8.75	8	7.02889706555905e-40	3	1.45675674960343	1	64.408857713266	3	9	8	18	4	8	8	7	13	15	4	8
8	bindea_gs18	NK cells	31/35	2.92376054132414e-86	1.46188027066207e-85	10	10.1666666666667	10	2.46162417530131e-65	3	0.638972485644716	1	36.1378862279357	18	11	5	17	13	3	6	6	9	6	17	11
9	bindea_gs4	APM2	15/15	3.58647661663218e-37	4.98121752310024e-37	15	11.0833333333333	11.5	2.08668156101956e-22	4	0.941213020068873	1	21.7883673746562	7	17	9	4	5	12	12	12	20	11	9	15
10	bindea_gs16	NK CD56bright cells	8/11	2.31627470016291e-50	3.86045783360484e-50	10	11.25	10.5	3.40452452185242e-30	1	0.945476485353912	1	30.7757313511997	9	7	12	15	11	9	7	10	17	22	15	1
11	bindea_gs11	iDC	30/31	4.31167154832809e-16	4.49132452950842e-16	15	13.9166666666667	11.5	8.51278733139791e-08	8	0.814116620980978	1	6.26801729373633	12	8	19	10	22	11	15	17	24	8	11	10
12	bindea_gs30	Th2 cells	25/26	1.59258706477988e-48	2.34203980114688e-48	10	14.0833333333333	14.5	1.23193449050625e-36	4	0.652679665723245	-1	19.5819957365737	4	6	18	25	21	18	20	8	15	14	13	7
13	bindea_gs12	Lymph vessels	3/3	6.96285496011272e-36	8.7035687001409e-36	15	14.25	14.5	5.59762778613869e-26	9	1.11329937565493	1	25.2714744717393	16	14	15	11	9	13	14	15	19	16	16	13
14	bindea_gs26	Tfh cells	30/32	2.13580815836698e-20	2.32153060692063e-20	15	14.5833333333333	13.5	9.56749086450501e-11	4	0.854063711379819	1	9.3286678672964	19	12	14	22	20	4	10	13	25	17	7	12
15	bindea_gs15	Neutrophils	27/31	5.91013222623388e-73	1.84691632069809e-72	15	15	14	1.42137900062947e-65	8	0.725833815761237	1	34.6049919120397	13	13	21	14	23	15	13	14	8	13	19	14
16	bindea_gs10	Eosinophils	27/31	2.00033161661151e-50	3.57202074394913e-50	20	16.1666666666667	16.5	7.42352460943637e-49	7	0.602620802211586	1	18.6585603087612	24	23	13	9	14	17	16	19	11	7	18	23
17	bindea_gs23	T helper cells	21/24	1.5026160475357e-82	6.2609001980654e-82	20	16.1666666666667	19	5.47159396171169e-87	1	0.585535174373682	-1	31.3688349016642	14	21	20	19	19	19	25	20	1	5	10	21
18	bindea_gs1	aDC	3/4	0.000411589957253598	0.000411589957253598	25	17.1666666666667	21	0.0018	1	1.10518022473416	1	0	25	25	10	1	7	21	21	21	23	21	6	25
19	bindea_gs17	NK CD56dim cells	7/15	5.37261829966824e-49	8.39471609323163e-49	20	17.4166666666667	17	6.72113251524941e-48	12	0.849532554455017	1	26.56724326823	17	16	17	16	17	20	17	16	12	23	21	17
20	bindea_gs28	Th1 cells	24/27	1.96831469486737e-36	2.58988775640443e-36	20	17.5	18	2.8624250850141e-33	11	0.764787679612512	1	16.8099356979635	20	18	11	24	15	14	19	23	16	12	20	18
21	bindea_gs14	Mast cells	26/30	6.13292157688284e-27	7.30109711533671e-27	25	17.75	18	1.4834135835797e-19	11	0.677603577178132	1	10.0027809140937	23	24	16	13	12	16	11	11	21	20	22	24
22	bindea_gs3	APM1	7/7	4.62931932069287e-76	1.65332832881888e-75	25	17.9166666666667	20.5	1.43194235735335e-85	2	0.488793784754725	1	23.4957094458088	15	19	23	3	18	22	23	22	2	25	24	19
23	bindea_gs27	Tgd cells	4/6	8.74217860559398e-72	2.42838294599833e-71	25	18.9166666666667	20	3.77953982079574e-77	3	0.478038031655462	1	21.4933127181042	22	15	22	23	16	25	18	18	3	24	25	16
24	bindea_gs13	Macrophages	32/33	9.72395172626056e-25	1.10499451434779e-24	25	19.25	20.5	5.36160017747193e-28	9	0.81313461823213	1	11.2700512283992	21	20	24	12	24	23	22	24	18	9	14	20
25	bindea_gs24	Tcm cells	31/39	1.31301105464988e-65	3.28252763662471e-65	25	20.25	22.5	2.34728637972211e-74	4	0.368863206165639	-1	14.3533319118255	11	22	25	20	25	24	24	25	4	18	23	22
