ID	GeneSet	BroadUrl	Description	PubMedID	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logFC	Direction	Significance	ssgsea	gsva
M2887	KRAS.BREAST_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.BREAST_UP.V1_DN.html	Genes down-regulated in epithelial breast cancer cell lines over-expressing an oncogenic form of  KRAS [Gene ID=3845] gene.		Pablo Tamayo	1.09123907731978e-105	1.57138427134048e-103	10	5.5	5.5	1.63493006327798e-93	1	0.820954724250536	1	99.7974755809751	10	1
M2656	CSR_EARLY_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_EARLY_UP.V1_UP.html	Genes up-regulated in early serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	Pablo Tamayo	5.21943532174543e-102	2.33430860163615e-100	10	7	7	1.51197489482646e-94	6	0.480491298987503	-1	55.9969153242515	6	8
M2868	TBK1.DN.48HRS_DN	http://www.broadinstitute.org/gsea/msigdb/cards/TBK1.DN.48HRS_DN.html	Genes down-regulated in epithelial lung cancer cell lines upon over-expression of an oncogenic form of KRAS [Gene ID=3845] gene and knockdown of TBK1 [Gene ID=29110] gene by RNAi.	19847166	Pablo Tamayo	4.32486810831369e-101	1.24556201519434e-99	15	9	9	4.81820486594472e-93	6	0.478874826850844	-1	55.3861733149671	12	6
M2864	TBK1.DF_DN	http://www.broadinstitute.org/gsea/msigdb/cards/TBK1.DF_DN.html	Genes down-regulated in epithelial lung cancer cell lines upon over-expression of an oncogenic form of KRAS [Gene ID=3845] gene and knockdown of TBK1 [Gene ID=29110] gene by RNAi.	19847166	Pablo Tamayo	2.67834463706423e-105	1.92840813868625e-103	5	10.5	10.5	1.33499037380765e-99	1	0.576365144334619	-1	69.5825948338073	1	20
M2859	KRAS.AMP.LUNG_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.AMP.LUNG_UP.V1_DN.html	Genes down-regulated in epithelial lung cancer cell lines over-expressing KRAS [Gene ID=3845] gene.	19847166	Pablo Tamayo	3.19777436506843e-99	5.11643898410949e-98	20	12.5	12.5	5.70599355454623e-92	9	0.833050955228908	1	95.7815984947055	16	9
M2635	ERB2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ERB2_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] and engineered to express ligand-activatable ERBB2 [Gene ID=2064].	11888208	Pablo Tamayo	4.49516002648392e-100	9.2471863401955e-99	10	14	14	2.35439265806892e-94	7	0.681536149684008	-1	78.7114405701989	7	21
M2752	CTIP_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CTIP_DN.V1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) upon knockdown of RBBP8 [Gene ID=RBBP8] gene by RNAi.	16843262	Pablo Tamayo	6.48419056010041e-102	2.33430860163615e-100	5	15.5	15.5	8.42520690742544e-97	2	0.794423376119217	1	93.5048986464584	2	29
M2885	KRAS.600.LUNG.BREAST_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.600.LUNG.BREAST_UP.V1_DN.html	Genes down-regulated in epithelial lung and breast cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	5.19809105321576e-99	6.80477374239154e-98	30	16	16	5.27068642868546e-88	2	0.778830885557891	1	89.3400239715413	30	2
M2846	SIRNA_EIF4GI_DN	http://www.broadinstitute.org/gsea/msigdb/cards/SIRNA_EIF4GI_DN.html	Genes down-regulated in MCF10A cells vs knockdown of EIF4G1 [Gene ID=1981] gene by RNAi.	18426977	Pablo Tamayo	4.39146950427984e-99	6.32371608616297e-98	10	16.5	16.5	1.61751310746193e-93	9	0.490334607635689	-1	55.7424629335681	9	24
M2726	RAF_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RAF_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active RAF1 [Gene ID=5894] gene.	16585219	Pablo Tamayo	2.86940516750743e-100	6.88657240201783e-99	5	17	17	3.35964800991917e-95	4	0.628273532113107	-1	72.5462298023753	4	30
M2675	VEGF_A_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/VEGF_A_UP.V1_DN.html	Genes down-regulated in HUVEC cells (endothelium) by treatment with VEGFA [Gene ID=7422].	15516835	Pablo Tamayo	1.22296947742573e-98	1.46756337291088e-97	15	19.5	19.5	1.65789370378043e-93	11	0.635730065900543	-1	72.4111059999637	11	28
M2724	MEK_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/MEK_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] MCF-7 cells (breast cancer) stably over-expressing constitutively active MAP2K1 [Gene ID=5604] gene.	16585219	Pablo Tamayo	3.67289748239038e-97	3.77783741045867e-96	20	19.5	19.5	3.41007224680054e-91	19	0.667082660611316	-1	74.9233726920673	20	19
M2824	IL21_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/IL21_UP.V1_DN.html	Genes down-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL21 [Gene ID=59067].	18281483	Pablo Tamayo	4.59130114702193e-95	3.47972297458504e-94	35	19.5	19.5	2.98231665397119e-87	7	0.69550035470581	1	76.5369166057503	32	7
M2633	EGFR_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/EGFR_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] and engineered to express ligand-activatable EGFR [Gene ID=1956].	11888208	Pablo Tamayo	1.06908189162612e-99	1.92434740492702e-98	5	20	20	5.01959110912419e-95	5	0.674921408125304	-1	77.6762001532951	5	35
M2886	KRAS.600.LUNG.BREAST_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.600.LUNG.BREAST_UP.V1_UP.html	Genes up-regulated in epithelial lung and breast cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	5.25800581257629e-97	5.04768558007324e-96	15	24	24	3.73471032468452e-92	15	0.887395858801378	1	100	15	33
M2901	KRAS.PROSTATE_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.PROSTATE_UP.V1_DN.html	Genes down-regulated in epithelial prostate cancer cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	7.06592890611121e-96	6.35933601550009e-95	20	28	28	2.26654422687736e-91	19	0.86461775061252	1	96.2560659525096	19	37
M2880	KRAS.600_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.600_UP.V1_DN.html	Genes down-regulated in four lineages of epithelial cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845] gene.		Pablo Tamayo	1.76277459316073e-91	9.06569790768375e-91	40	28.5	28.5	2.60765081143204e-85	18	0.808308582456504	1	85.8688332208811	39	18
M2827	IL21_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/IL21_UP.V1_UP.html	Genes up-regulated in Sez-4 cells (T lymphocyte) that were first starved of IL2 [Gene ID=3558] and then stimulated with IL21 [Gene ID=59067].	18281483	Pablo Tamayo	2.90592210850255e-89	1.23074348124814e-88	45	29	29	1.03186908926982e-82	14	0.85015571468447	1	88.2130691534863	44	14
M2834	PDGF_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PDGF_UP.V1_UP.html	Genes up-regulated in SH-SY5Y cells (neuroblastoma) in response to PDGF [Gene ID=] stimulation.	18312689	Pablo Tamayo	1.05188284457254e-95	8.91006644814386e-95	15	31	31	1.73365244282229e-92	14	0.526613050796188	-1	57.9825271440171	14	48
M2874	KRAS.300_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.300_UP.V1_DN.html	Genes down-regulated in four lineages of epithelial cell lines over-expressing an oncogenic form of KRAS [Gene ID=3845].		Pablo Tamayo	1.86601122777373e-91	9.26571092411781e-91	40	31.5	31.5	6.04903268884291e-86	26	0.858272705170251	1	91.2541370189676	37	26
M2748	BRCA1_DN.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/BRCA1_DN.V1_UP.html	Genes up-regulated in MCF10A cells (breast cancer) upon knockdown of BRCA1 [Gene ID=672] gene by RNAi.	16843262	Pablo Tamayo	1.89748579664141e-95	1.51798863731312e-94	15	32.5	32.5	1.22198718681621e-92	13	0.75842985504414	1	83.9174088066224	13	52
M2747	BRCA1_DN.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/BRCA1_DN.V1_DN.html	Genes down-regulated in MCF10A cells (breast cancer) upon knockdown of BRCA1 [Gene ID=672] gene by RNAi.	16843262	Pablo Tamayo	4.51421594227198e-86	1.54773118020753e-85	65	33	33	4.75753326131604e-77	5	0.792128894996372	1	79.1515264978202	61	5
