"","x"
"FCER1A",0.344855322318309
"MS4A2",-0.140446559149742
"FCER1G",0.00300133554676929
"HLA-DMA",0.80614144039303
"HLA-DMB",0.172891748007151
"HLA-DOA",0.584530435264358
"HLA-DOB",-0.1895447342528
"HLA-DPA1",1.32526491108544
"HLA-DPB1",1.26985321234841
"HLA-DQA1",1.34203569801202
"HLA-DQA2",1.41219591312058
"HLA-DQB1",1.30323200543768
"HLA-DRA",1.44889609859629
"HLA-DRB1",1.46133553681573
"HLA-DRB3",-0.205670158941147
"HLA-DRB5",1.5019845442741
"IL4",-1.40333775188797
"IL5",-0.67277184291482
"IL10",0.0276266451385521
"IL13",-0.889881849478968
"PRG2",0.154496172433311
"RNASE3",0.0585827328613053
"TNF",-0.405143593490004
"EPX",-0.176049040075414
"CD40LG",-0.262594480589471
