ID	GeneSet	BroadUrl	Description	PubMedID	Contributor	p.value	p.adj	avg.logFC	Direction	Significance
M3076	GSE10325_CD4_TCELL_VS_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_CD4_TCELL_VS_BCELL_UP.html	Genes up-regulated in comparison of healthy CD4 [GeneID=920] T cells versus healthy CD19 [GeneID=920] B cells. 	18275831	Jernej Godec	1e-04	0.000108004268943437	0.72660416574417	1	80.1561325565361
M3078	GSE10325_CD4_TCELL_VS_MYELOID_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_CD4_TCELL_VS_MYELOID_UP.html	Genes up-regulated in comparison of healthy CD4 [GeneID=920] T cells versus healthy myeloid cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.704703753262039	1	77.0208456694702
M3079	GSE10325_CD4_TCELL_VS_MYELOID_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_CD4_TCELL_VS_MYELOID_DN.html	Genes down-regulated in comparison of healthy CD4 [GeneID=920] T cells versus healthy myeloid cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.567503262679747	1	57.3790741104812
M3082	GSE10325_BCELL_VS_MYELOID_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_BCELL_VS_MYELOID_DN.html	Genes down-regulated in comparison of healthy B cells versus healthy myeloid cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.593321222518489	1	61.075201340927
M3084	GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_UP.html	Genes up-regulated in comparison of systemic lupus erythematosus CD4 [GeneID=920] T cells versus systemic lupus erythematosus B cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.739204028430724	1	81.9599426122697
M3087	GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP.html	Genes up-regulated in comparison of systemic lupus erythematosus CD4 [GeneID=920] T cells versus systemic lupus erythematosus myeloid cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.775025781303261	1	87.0882237414316
M3088	GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN.html	Genes down-regulated in comparison of systemic lupus erythematosus CD4 [GeneID=920] T cells versus systemic lupus erythematosus myeloid cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.532045024981075	1	52.302834209255
M3089	GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP.html	Genes up-regulated in comparison of systemic lupus erythematosus B cells versus systemic lupus erythromatosus myeloid cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.66241090964141	1	70.9661561457605
M3091	GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN.html	Genes down-regulated in comparison of systemic lupus erythematosus B cells versus systemic lupus erythromatosus myeloid cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.532635182830394	1	52.3873218492837
M3092	GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10325_CD4_TCELL_VS_LUPUS_CD4_TCELL_UP.html	Genes up-regulated in comparison of healthy CD4 [GeneID=920] T cells versus systemic lupus erythematosus CD4 [GeneID=920] T cells.	18275831	Jernej Godec	1e-04	0.000108004268943437	0.59942936117454	1	61.9496491189459
