,GENE.SET,ES,NES,P.VALUE
1,14675778-Table3,0.639,2.11,0
2,16138077-Table2,0.88,1.81,0
3,19294737-SuppTable2,0.381,1.81,0
4,16484322-SuppTable1,0.314,1.58,0
5,14767473-SuppTable2,-0.358,-1.72,0
6,18689800-TableS6,-0.421,-1.76,0
7,18006812-TableS4,-0.513,-1.81,0
8,12941840-Table1,-0.445,-1.82,0
9,20460173-ImmPortCytokineReceptors,-0.45,-1.85,0
10,11325847-Table2,-0.474,-1.85,0
11,15695585-Table2,-0.575,-1.85,0
12,17404395-TableS1a,-0.664,-1.86,0
13,16007138-Table1b,-0.73,-1.87,0
14,18565887-TableA10,-0.805,-1.87,0
15,16627760-Table1,-0.5,-1.88,0
16,12890387-Table2,-0.514,-1.89,0
17,16151515-TableS2,-0.447,-1.92,0
18,17873912-Table1,-0.582,-1.92,0
19,15886297-Table1,-0.617,-1.96,0
20,16423987-SuppTable3a,-0.657,-1.98,0
21,16288009-Table2,-0.607,-1.99,0
22,17414055-Table3,-0.695,-2.03,0
23,18338247-SuppTable4B,-0.639,-2.2,0
24,16513838-TableS1,0.42,1.76,0.0018
25,18081427-TableS7,0.431,1.87,0.00184
26,20101236-SuppTable7a,0.466,1.87,0.00187
27,20215539-SuppTable2b,0.579,1.89,0.00195
28,16203770-Table4,-0.558,-1.91,0.00197
29,17640171-Table3,-0.793,-1.71,0.00198
30,18701459-Table1,-0.727,-1.99,0.00199
31,17349526-Table1,-0.6,-1.83,0.00203
32,19861515-SuppTable2,-0.639,-1.86,0.00209
33,19724859-Table2,-0.69,-1.84,0.0021
34,18221535-Table2,-0.616,-1.95,0.00211
35,16618722-Table1,-0.508,-1.92,0.00213
36,18490921-Table3,-0.634,-2.01,0.00215
37,17178894-Table1,-0.497,-1.91,0.00217
38,16618722-SuppTable2,-0.382,-1.73,0.00218
39,15793299-TableD,-0.497,-1.84,0.00219
40,19723659-Table2,-0.574,-1.9,0.00219
41,19074895-SuppTable4,-0.587,-1.91,0.00219
42,17545589-Table2,-0.533,-1.92,0.0022
43,18593951-TableS3,-0.307,-1.59,0.00221
44,15342375-Table4,-0.491,-1.8,0.00223
45,17325667-Table1b,-0.648,-1.8,0.00225
46,18692832-Table1,-0.556,-1.8,0.00231
47,17823238-TableS5,-0.35,-1.62,0.00249
48,20068086-ST1-5,0.389,1.72,0.00355
49,17989719-SuppTableS3,-0.817,-1.71,0.00386
50,17699775-Table1,0.68,1.8,0.00413
51,16203770-TableS1,-0.354,-1.7,0.00421
52,16423987-SuppTable3e,-0.666,-1.82,0.00436
53,19808960-Table2,-0.622,-1.86,0.00436
54,16440291-SuppTable1,-0.666,-1.95,0.00438
55,20096135-Table2,-0.541,-1.83,0.0044
56,16397233-Table2,-0.572,-1.93,0.0044
57,15897889-Table2,-0.387,-1.62,0.00444
58,15459216-TableA2a,-0.495,-1.82,0.00445
59,16254190-Table3,-0.429,-1.7,0.00446
60,17234769-TableS3b,-0.584,-1.91,0.00446
61,16652140-Table2,-0.684,-1.89,0.00447
62,12791645-Table5,-0.553,-1.81,0.00452
63,15793299-TableA,-0.418,-1.66,0.00455
64,15955831-Table4,-0.503,-1.77,0.00475
65,16288009-SuppTable2,-0.366,-1.65,0.00476
66,18400362-Figure4b,-0.499,-1.75,0.00487
67,17428335-tableS5a,0.377,1.61,0.00511
68,17428335-tableS5b,0.589,1.91,0.00538
69,18676871-Table2,0.515,1.76,0.00572
70,17234769-TableS2a,0.485,1.87,0.00581
71,16007138-Table3a,0.709,1.82,0.00588
72,16969345-Table3,-0.618,-1.84,0.0061
73,11289099-Table1,-0.65,-1.72,0.00612
74,15246160-table4,-0.715,-1.88,0.00625
75,17895889-Table1b,-0.633,-1.7,0.00632
76,18510698-Table5,-0.546,-1.73,0.00638
77,14766275-Fig.2,-0.596,-1.92,0.00645
78,16488994-SuppTable1b,-0.417,-1.81,0.00652
79,16284748-TableS4,-0.487,-1.73,0.00654
80,16488994-SuppTable1a,-0.419,-1.82,0.00655
81,19658189-TableS8c,-0.541,-1.84,0.00664
82,14583454-Table3,-0.676,-1.8,0.00667
83,16228831-Table3,-0.468,-1.69,0.0067
84,19658182-Table1a,-0.529,-1.68,0.00679
85,16705683-table2,0.493,1.76,0.00704
86,19116885-table3,0.423,1.59,0.0071
87,15300801-Table2,0.436,1.65,0.00726
88,20140255-TableS2,-0.401,-1.77,0.00726
89,11237719-Table1b,0.645,1.74,0.00738
90,17409455-TableS2,0.523,1.85,0.00778
91,15041723-Table2,0.507,1.65,0.00781
92,15466718-Table4,-0.809,-1.75,0.00816
93,16501597-Table1b,-0.765,-1.9,0.00816
94,16498405-TableS6,-0.759,-1.78,0.00826
95,15452378-Table2,-0.548,-1.75,0.00849
96,18849563-Table5,-0.71,-1.82,0.00849
97,16498405-TableS3,-0.514,-1.89,0.0086
98,17178874-Table1,-0.499,-1.71,0.00866
99,18438415-Table2.1,-0.704,-1.87,0.00897
100,17123152-Table3b,-0.747,-1.71,0.00909
101,16371738-Table4,0.756,1.7,0.00911
102,19204204-SupplementaryTable7,0.333,1.56,0.00917
103,20038735-TableA2,-0.527,-1.79,0.00939
104,18931459-Table2,-0.745,-1.78,0.00942
105,15940270-Figure1D,0.483,1.78,0.00956
106,19951989-Table2,0.552,1.72,0.00965
107,19699293-TableS8,-0.568,-1.66,0.01
108,11757704-Table1b,-0.749,-1.68,0.0102
109,18280641-table2,-0.377,-1.59,0.0106
110,12782714-TableS3a,-0.637,-1.76,0.0106
111,20068109-SuppTable3,0.468,1.76,0.0107
112,15377468-Table2,-0.536,-1.65,0.0107
113,15674361-SuppTable2,-0.649,-1.7,0.0107
114,15802376-Table3,-0.458,-1.62,0.0108
115,15930281-Table1,-0.417,-1.67,0.0108
116,17234769-TableS4b,-0.574,-1.76,0.0108
117,17638894-Table2,-0.475,-1.73,0.011
118,16513839-Table3,0.528,1.8,0.0112
119,20421987-TableS2,-0.601,-1.89,0.0112
120,17229949-TableS4,0.373,1.58,0.0113
121,12115487-table2,0.669,1.71,0.0115
122,18381423-Table1,-0.46,-1.65,0.0116
123,17690704-SuppTable1,0.824,1.68,0.0117
124,14695345-Table1a,-0.573,-1.75,0.0117
125,19658189-TableS5,-0.342,-1.54,0.0125
126,19967557-Table3,-0.583,-1.71,0.0127
127,11282888-Table2,-0.646,-1.77,0.0127
128,12594241-Table2,-0.559,-1.82,0.0127
129,15785748-Table3,-0.628,-1.9,0.0127
130,19129520-TableS27,-0.503,-1.66,0.0131
131,16498405-TableS5,-0.45,-1.75,0.0131
132,14678982-Table4,-0.408,-1.6,0.0132
133,19695104-AF2,0.457,1.67,0.0133
134,18403781-SuppTable2,-0.587,-1.7,0.0133
135,18338247-SuppTable3B,-0.757,-1.74,0.0134
136,15246160-table3,-0.552,-1.71,0.0136
137,15529182-Table2,-0.714,-1.85,0.0138
138,16652140-Table1,-0.611,-1.75,0.014
139,20436685-ST5-2,-0.376,-1.61,0.0142
140,15940248-Table3,-0.567,-1.84,0.0142
141,12610208-Figure1-1,-0.548,-1.69,0.0143
142,19936789-Table1,-0.506,-1.65,0.0148
143,19356222-SuppTable4,-0.605,-1.72,0.0149
144,15073113-Table1,-0.538,-1.7,0.015
145,15501955-Table1,-0.67,-1.8,0.015
146,12649203-Table1a,-0.41,-1.58,0.0156
147,15220918-TableS1b,-0.401,-1.63,0.0156
148,16498405-Table2,-0.648,-1.82,0.0157
149,16467079-Table2a,0.644,1.63,0.0158
150,18487511-Table1,-0.565,-1.73,0.0159
151,15613424-Table3,-0.674,-1.73,0.0161
152,16423883-Table2,-0.41,-1.6,0.0163
153,18277965-TableS1b,-0.403,-1.69,0.0165
154,17325667-Table3a,-0.737,-1.78,0.0165
155,15834136-Table5,-0.687,-1.72,0.0166
156,20436685-ST5-1,0.299,1.45,0.0168
157,16109776-TableS1,-0.436,-1.71,0.0168
158,16751804-Table1,0.601,1.7,0.0169
159,15548776-Figure3a,-0.628,-1.76,0.017
160,17597811-SuppTable9,-0.367,-1.52,0.0171
161,16498405-TableS8,-0.454,-1.65,0.0173
162,12456497-Table4,-0.721,-1.77,0.0173
163,12623842-Table1,-0.392,-1.53,0.0174
164,14990357-Table2,-0.749,-1.78,0.0174
165,17430594-table3,-0.39,-1.62,0.0175
166,16868257-Table1,-0.636,-1.79,0.0177
167,15972966-TableS2b,-0.647,-1.76,0.0178
168,16140871-Table1,-0.434,-1.67,0.018
169,20067540-Table4,-0.54,-1.74,0.018
170,15173083-Table2,-0.625,-1.73,0.0183
171,17533364-Table3,0.539,1.69,0.0184
172,20630075-AF-3,-0.436,-1.64,0.0185
173,17043639-Table5,-0.561,-1.64,0.0185
174,15246160-table6,-0.706,-1.8,0.0186
175,11906190-Table2b-1,0.62,1.69,0.0189
176,12648972-Panel3,-0.728,-1.66,0.0189
177,18378853-TableS1,-0.375,-1.57,0.019
178,15265009-TableS1,-0.507,-1.65,0.019
179,16174304-Figure2,-0.414,-1.59,0.0192
180,19074895-Table1,0.451,1.66,0.0195
181,16423987-SuppTable3d,-0.499,-1.68,0.0195
182,16287073-Table3,0.476,1.66,0.0196
183,11751374-Figure3,-0.381,-1.46,0.0197
184,17192395-TableS2b,-0.377,-1.63,0.0197
185,16501597-Table2,-0.849,-1.68,0.0198
186,16109776-Table3,-0.479,-1.69,0.0198
187,15940270-Table2,0.495,1.63,0.0199
188,17975224-TableS6,-0.348,-1.54,0.0201
189,17213807-Table1,-0.465,-1.62,0.0201
190,16455817-Figure1A,-0.485,-1.63,0.0201
191,19336569-SuppTable3,0.438,1.66,0.0202
192,19699293-TableS7,-0.489,-1.71,0.0202
193,20460173-ImmPortChemokineReceptors,-0.541,-1.74,0.0202
194,17161497-SuppTable1,-0.451,-1.68,0.0203
195,20460542-SuppTable2,-0.316,-1.45,0.0204
196,15860227-Table1b,-0.621,-1.71,0.0206
197,19101988-TableS2,0.625,1.64,0.0207
198,18691415-Table5d,-0.408,-1.58,0.0207
199,16498405-TableS7,-0.489,-1.74,0.0209
200,19286929-SuppTable2i,-0.364,-1.57,0.0214
201,19325563-Table2b,-0.669,-1.71,0.0214
202,15598354-SuppTable7a,0.525,1.64,0.0215
203,16455954-Table2,-0.52,-1.68,0.0217
204,16188652-table1a,0.512,1.66,0.0219
205,20081812-Table3,-0.451,-1.62,0.0219
206,16404635-Table2,-0.552,-1.65,0.022
207,16166195-TableS1b,-0.355,-1.57,0.0222
208,15326474-Table2c,-0.496,-1.64,0.0222
209,15586368-Table1,-0.562,-1.67,0.0222
210,12643756-table2,-0.388,-1.52,0.0224
211,15572690-SuppTable4,0.368,1.51,0.023
212,12869505-Table3,-0.497,-1.64,0.0232
213,18497862-TableS4,-0.356,-1.56,0.0234
214,16951191-Table3,-0.468,-1.66,0.0234
215,17989719-SuppTableS2b,-0.503,-1.66,0.0235
216,18006806-TableS2,-0.423,-1.57,0.0236
217,17571080-SuppTable2b,-0.357,-1.59,0.0236
218,16138077-Table3,-0.547,-1.68,0.0238
219,15500010-table3,-0.824,-1.6,0.0241
220,20161705-Table3,-0.576,-1.65,0.0241
221,16143142-Table4,0.468,1.62,0.0242
222,16356477-Table1,-0.427,-1.58,0.0247
223,15955831-Table5,-0.444,-1.6,0.0247
224,14583454-Table4,-0.512,-1.65,0.0247
225,18338247-SuppTable1,-0.353,-1.52,0.0248
226,16804116-Table4,-0.455,-1.59,0.0249
227,14556665-Table2,-0.573,-1.65,0.025
228,20460173-ImmPortMemoryvsNaive,-0.58,-1.69,0.025
229,19717424-SuppTable1,-0.384,-1.53,0.0252
230,16160012-Table1,-0.435,-1.62,0.0254
231,17881637-Table3,-0.64,-1.67,0.0255
232,17191107-Table1,0.453,1.5,0.0256
233,19047173-tableS2,-0.349,-1.45,0.0256
234,18338247-SuppTable4A,0.544,1.79,0.0257
235,17963910-SuppTable1,-0.408,-1.63,0.0258
236,20145155-Table2,0.553,1.65,0.0259
237,16210406-table1,-0.37,-1.48,0.0259
238,19112514-tableS1,-0.585,-1.71,0.0259
239,20068086-ST1-1,0.561,1.67,0.026
240,15120971-Table3,-0.502,-1.63,0.026
241,17885619-Table3b,-0.709,-1.68,0.0261
242,17192395-Table1,-0.554,-1.69,0.0262
243,16778185-Table1,-0.348,-1.46,0.0263
244,20013794-Table3,-0.456,-1.63,0.0263
245,12082545-Table2b,0.471,1.58,0.0265
246,18410693-TableS5,0.472,1.67,0.0266
247,16091735-Table1,-0.398,-1.54,0.0268
248,15955831-SuppTable4,-0.465,-1.6,0.0269
249,18281540-Table1b,-0.54,-1.61,0.0269
250,20087356-TableS5,0.586,1.7,0.0271
251,20521089-SuppTable1b,0.72,1.65,0.0272
252,19695104-AF1-2,0.555,1.6,0.0272
253,15972966-TableS2a,-0.426,-1.6,0.0273
254,16675456-table1,-0.473,-1.62,0.0277
255,15845616-SuppTable3,-0.302,-1.44,0.0281
256,15208663-SuppTable1b,-0.377,-1.53,0.0281
257,15885264-Table2,-0.683,-1.71,0.0282
258,12115547-Table2,-0.426,-1.54,0.0284
259,12947006-Table1,-0.614,-1.68,0.0288
260,17087938-Table4,0.764,1.53,0.0291
261,15548687-table1,-0.501,-1.62,0.0291
262,17947471-Table1,0.462,1.6,0.0292
263,17429429-Table2,-0.449,-1.54,0.0292
264,15755681-Table3,0.454,1.54,0.0294
265,15755900-Table2,-0.511,-1.68,0.0294
266,17295094-GeneList,-0.373,-1.55,0.0295
267,15374877-Table2,0.539,1.72,0.0296
268,19050837-Table1,-0.774,-1.58,0.0298
269,15492251-Table1,-0.589,-1.69,0.0298
270,15892885-tableS1b,-0.464,-1.66,0.0301
271,18366635-Table2,0.528,1.62,0.0302
272,20490655-ST3,-0.337,-1.52,0.0302
273,16896004-Table2,0.557,1.66,0.0303
274,19129520-TableS26,-0.494,-1.6,0.0303
275,15466718-Table3,-0.497,-1.58,0.0304
276,20436685-ST4-2,-0.271,-1.37,0.031
277,15892885-tableS1a,-0.448,-1.65,0.0311
278,19893615-Table3,-0.283,-1.35,0.0313
279,15172037-Table2,-0.454,-1.53,0.0315
280,15150091-Table3,-0.439,-1.51,0.0318
281,17885619-Table3a,0.608,1.7,0.032
282,20203266-TableS1b,0.267,1.34,0.032
283,16357179-Table2,0.345,1.45,0.0326
284,20630075-AF-2,0.548,1.74,0.0328
285,19356222-Table5,-0.565,-1.58,0.0331
286,17883867-Table3,0.496,1.66,0.0336
287,18510698-Table4,0.66,1.62,0.0338
288,11606393-Table1,-0.667,-1.61,0.0338
289,11733577-Figure2,-0.515,-1.56,0.0339
290,20368555-TS-2,0.406,1.66,0.034
291,15155529-tableS2a,-0.56,-1.62,0.034
292,20686847-Table3,-0.613,-1.6,0.0342
293,11861292-Table6,-0.505,-1.52,0.0349
294,17218380-Table1,-0.54,-1.64,0.035
295,20166207-Table6,-0.416,-1.55,0.0353
296,16397240-SuppTable9,0.334,1.46,0.0354
297,14990357-Table3,-0.548,-1.63,0.0354
298,17617570-Table2,-0.531,-1.72,0.0354
299,20124474-Table2,-0.534,-1.54,0.0356
300,15832406-Table6,-0.76,-1.57,0.0356
301,16627760-Table1b,-0.565,-1.75,0.0356
302,20203266-TableS1a,0.345,1.53,0.0359
303,17963910-SuppTable2,-0.503,-1.62,0.0359
304,11282888-SuppTable2,-0.557,-1.67,0.0359
305,18005044-TableS3b,-0.427,-1.54,0.0362
306,16166618-Table2,-0.594,-1.66,0.0362
307,14871960-Table3,-0.519,-1.65,0.0367
