,GENE.SET,ES,NES,P.VALUE
1,GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH1_DN,0.535,1.99,0
2,GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP,0.513,1.97,0
3,GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_PPARG_KO_TCONV_CD4_TCELL_UP,0.501,1.97,0
4,GSE4984_GALECTIN1_VS_VEHICLE_CTRL_TREATED_DC_DN,0.462,1.93,0
5,GSE41867_NAIVE_VS_DAY30_LCMV_ARMSTRONG_MEMORY_CD8_TCELL_DN,0.459,1.92,0
6,GSE45365_CD8A_DC_VS_CD11B_DC_DN,0.461,1.9,0
7,GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP,0.529,1.87,0
8,GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP,0.398,1.87,0
9,GSE45365_HEALTHY_VS_MCMV_INFECTION_BCELL_IFNAR_KO_DN,0.442,1.85,0
10,GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_6H_DN,0.406,1.83,0
11,GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN,0.493,1.81,0
12,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_DN,0.4,1.78,0
13,GSE17721_LPS_VS_POLYIC_8H_BMDM_UP,0.381,1.74,0
14,GSE25088_CTRL_VS_IL4_STIM_STAT6_KO_MACROPHAGE_UP,0.418,1.73,0
15,GSE3982_MAC_VS_NEUTROPHIL_UP,0.377,1.73,0
16,GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL6_STIM_MACROPHAGE_DN,0.37,1.7,0
17,GSE12392_CD8A_POS_VS_NEG_SPLEEN_IFNB_KO_DC_UP,0.349,1.63,0
18,GSE22025_UNTREATED_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP,-0.329,-1.56,0
19,GSE24634_NAIVE_CD4_TCELL_VS_DAY10_IL4_CONV_TREG_UP,-0.336,-1.57,0
20,GSE17721_CTRL_VS_PAM3CSK4_24H_BMDM_UP,-0.331,-1.59,0
21,GSE17721_CTRL_VS_LPS_24H_BMDM_UP,-0.337,-1.65,0
