ID	GeneSet	BroadUrl	Description	PubMedID	Contributor	p.value	p.adj	avg.logFC	Direction	Significance
M2633	EGFR_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/EGFR_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] and engineered to express ligand-activatable EGFR [Gene ID=1956].	11888208	Pablo Tamayo	1e-04	0.000104347826086957	0.674921408125304	-1	64.0578759612536
M2634	EGFR_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/EGFR_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] and engineered to express ligand-activatable EGFR [Gene ID=1956].	11888208	Pablo Tamayo	1e-04	0.000104347826086957	0.583303970295143	1	49.9343380638157
M2635	ERB2_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/ERB2_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] and engineered to express ligand-activatable ERBB2 [Gene ID=2064].	11888208	Pablo Tamayo	1e-04	0.000104347826086957	0.681536149684008	-1	65.077589623835
M2636	ERB2_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/ERB2_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) positive for ESR1 [Gene ID=2099] and engineered to express ligand-activatable ERBB2 [Gene ID=2064].	11888208	Pablo Tamayo	1e-04	0.000104347826086957	0.54061102104869	1	43.3528891506354
M2643	RAPA_EARLY_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/RAPA_EARLY_UP.V1_DN.html	Genes down-regulated in BJAB (lymphoma) cells by everolimus [PubChem = 6442177].	12101249	Pablo Tamayo	1e-04	0.000104347826086957	0.719616118428602	1	70.9479118510789
M2644	RAPA_EARLY_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/RAPA_EARLY_UP.V1_UP.html	Genes up-regulated in BJAB (lymphoma) cells by everolimus [PubChem = 6442177].	12101249	Pablo Tamayo	1e-04	0.000104347826086957	0.660920161159724	1	61.8994752592351
M2646	HINATA_NFKB_MATRIX	http://www.broadinstitute.org/gsea/msigdb/cards/HINATA_NFKB_MATRIX.html	Matrix, adhesion or cytoskeleton genes induced by NF-kappaB in primary keratinocytes and fibroblasts.	12673201	Pablo Tamayo	1e-04	0.000104347826086957	0.672372201024913	1	63.6648959353602
M2647	CYCLIN_D1_KE_.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CYCLIN_D1_KE_.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) over-expressing a mutant K112E form of CCND1 [Gene ID=595] gene.	12914697	Pablo Tamayo	1e-04	0.000104347826086957	0.770467808980858	1	78.7870939508334
M2648	CYCLIN_D1_KE_.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CYCLIN_D1_KE_.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) over-expressing a mutant K112E form of CCND1 [Gene ID=595] gene.	12914697	Pablo Tamayo	1e-04	0.000104347826086957	0.638766820225478	1	58.4843661091657
M2652	CYCLIN_D1_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CYCLIN_D1_UP.V1_DN.html	Genes down-regulated in MCF-7 cells (breast cancer) over-expressing CCND1 [Gene ID=595] gene.	12914697	Pablo Tamayo	1e-04	0.000104347826086957	0.688239416644557	1	66.1109501630094
M2654	CYCLIN_D1_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CYCLIN_D1_UP.V1_UP.html	Genes up-regulated in MCF-7 cells (breast cancer) over-expressing CCND1 [Gene ID=595] gene.	12914697	Pablo Tamayo	1e-04	0.000104347826086957	0.786333342841831	1	81.2328889223532
M2655	CSR_EARLY_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_EARLY_UP.V1_DN.html	Genes down-regulated in early serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	Pablo Tamayo	1e-04	0.000104347826086957	0.553177137102357	1	45.2900533031253
M2656	CSR_EARLY_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_EARLY_UP.V1_UP.html	Genes up-regulated in early serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	Pablo Tamayo	1e-04	0.000104347826086957	0.480491298987503	-1	34.0849681846652
M2659	CSR_LATE_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_LATE_UP.V1_DN.html	Genes down-regulated in late serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	Pablo Tamayo	1e-04	0.000104347826086957	0.7119876963157	1	69.7719314770266
M2660	CSR_LATE_UP.V1_UP	http://www.broadinstitute.org/gsea/msigdb/cards/CSR_LATE_UP.V1_UP.html	Genes up-regulated in late serum response of CRL 2091 cells (foreskin fibroblasts).	14737219	Pablo Tamayo	1e-04	0.000104347826086957	0.521164506697462	-1	40.355058290949
M2673	PIGF_UP.V1_DN	http://www.broadinstitute.org/gsea/msigdb/cards/PIGF_UP.V1_DN.html	Genes down-regulated in HUVEC cells (endothelium) by treatment with PIGF [Gene ID=5281].	15516835	Pablo Tamayo	1e-04	0.000104347826086957	0.732775357613199	1	72.9765105297457
