"","x"
"ABCC4",-0.0605826133437879
"ADCYAP1",1.21095867319802
"CALB2",2.15798836990497
"CEACAM8",0.104286240190725
"CPA3",-0.975762056489647
"CTSG",1.70854924254706
"GATA2",0.310806987420018
"HDC",0.0211251075284962
"HPGD",0.230568752826059
"HPGDS",-0.35656197489617
"KIT",0.889383568118458
"MAOB",0.756037973277573
"MLPH",0.269325050169261
"MPO",0.992538929139169
"MS4A2",-0.837185733331455
"PPM1H",-0.81380911929873
"PRG2",0.954258834585307
"PTGS1",-0.334214452686674
"SCG2",0.128629322028308
"SIGLEC6",-1.03202136575064
"SLC18A2",-1.70796065732977
"SLC24A3",0.0675605871185404
"TAL1",1.02906060069453
"TPSAB1",0.228206117202935
"TPSB2",0.268861522916322
"VWA5A",-0.1714491546388
