ID	GeneSet	NumGenes	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logFC	Direction	Significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
bindea_gs2	Angiogenesis	38/41	5.98594982581221e-61	1.15114419727158e-60	5	3.66666666666667	2	9.70486421611282e-15	1	0.889949247276571	1	35.630223843191	1	2	3	2	1	2	2	1	22	1	1	6
bindea_gs6	CD8 T cells	32/37	3.30574960995899e-106	8.26437402489749e-105	5	3.91666666666667	3	4.03117599590728e-68	1	0.78469248558069	1	55.9810453371979	8	4	1	6	6	1	1	2	6	2	8	2
bindea_gs8	Cytotoxic cells	16/17	1.73014185376524e-96	2.16267731720654e-95	5	4.91666666666667	5	8.38384826916736e-64	2	1.51008155371954	1	100	2	8	6	7	2	6	5	5	10	3	2	3
bindea_gs9	DC	7/7	5.91724064894995e-93	3.69827540559372e-92	5	5.16666666666667	5	5.02038017781423e-66	1	1.54215758138192	1	98.5997226833742	6	1	2	8	3	7	4	4	7	10	5	5
bindea_gs25	Tem cells	12/15	2.33992730510339e-65	5.3180166025077e-65	5	8	6	5.25379551911111e-38	3	0.721287087502503	1	30.6145261041807	10	3	7	21	10	5	3	3	14	4	12	4
bindea_gs5	B cells	28/33	3.3594591454424e-96	2.79954928786866e-95	5	8.16666666666667	8.5	7.52859868277162e-74	3	1.39615104866308	1	92.1401367977899	5	12	4	5	8	10	9	9	5	19	3	9
bindea_gs22	T cells	16/19	3.40521034378863e-65	7.09418821622632e-65	10	8.75	8	7.02889706555905e-40	3	1.45675674960343	1	64.4406571257666	3	9	8	18	4	8	8	7	13	15	4	8
bindea_gs18	NK cells	31/35	4.7691720625913e-86	2.38458603129565e-85	10	10.3333333333333	10	2.46162417530131e-65	3	0.638972485644716	1	36.1538578765159	18	13	5	17	13	3	6	6	9	6	17	11
bindea_gs4	APM2	15/15	2.53427750140108e-37	3.51982986305705e-37	15	11	11.5	2.08668156101956e-22	4	0.941213020068873	1	21.9587713426162	7	16	9	4	5	12	12	12	20	11	9	15
bindea_gs16	NK CD56bright cells	8/11	2.31627470016291e-50	3.86045783360484e-50	10	11.1666666666667	10.5	3.40452452185242e-30	1	0.945476485353912	1	30.8723980928686	9	6	12	15	11	9	7	10	17	22	15	1
bindea_gs11	iDC	30/31	4.31167154832809e-16	4.49132452950842e-16	15	13.8333333333333	11.5	8.51278733139791e-08	7	0.814116620980978	1	6.28770517057653	12	7	19	10	22	11	15	17	24	8	11	10
bindea_gs12	Lymph vessels	3/3	2.84394559937946e-36	3.55493199922433e-36	15	13.9166666666667	14.5	5.59762778613869e-26	9	1.11329937565493	1	25.6618382683665	16	10	15	11	9	13	14	15	19	16	16	13
bindea_gs30	Th2 cells	25/26	1.59258706477988e-48	2.34203980114688e-48	20	14	14.5	1.23193449050625e-36	4	0.652679665723245	-1	19.6435028930285	4	5	18	25	21	18	20	8	15	14	13	7
bindea_gs26	Tfh cells	30/32	2.13580815836698e-20	2.32153060692063e-20	15	14.5	13.5	9.56749086450501e-11	4	0.854063711379819	1	9.35796926444443	19	11	14	22	20	4	10	13	25	17	7	12
bindea_gs15	Neutrophils	27/31	7.50632611302818e-73	2.34572691032131e-72	15	15.0833333333333	14	1.42137900062947e-65	8	0.725833815761237	1	34.6595499307292	13	14	21	14	23	15	13	14	8	13	19	14
bindea_gs10	Eosinophils	27/31	1.90321598954758e-50	3.39859998133496e-50	20	16.1666666666667	16.5	7.42352460943637e-49	7	0.602620802211586	1	18.726523299442	24	23	13	9	14	17	16	19	11	7	18	23
bindea_gs23	T helper cells	21/24	1.25631139676176e-82	5.23463081984066e-82	20	16.1666666666667	19	5.47159396171169e-87	1	0.585535174373682	-1	31.500067479362	14	21	20	19	19	19	25	20	1	5	10	21
bindea_gs1	aDC	3/4	0.000411589957253598	0.000411589957253598	25	17.1666666666667	21	0.0018	1	1.10518022473416	1	0	25	25	10	1	7	21	21	21	23	21	6	25
bindea_gs17	NK CD56dim cells	7/15	6.4774469773373e-49	1.01210109020895e-48	20	17.5	17	6.72113251524941e-48	12	0.849532554455017	1	26.6011277998899	17	17	17	16	17	20	17	16	12	23	21	17
bindea_gs28	Th1 cells	24/27	1.92093894205026e-36	2.52755123953981e-36	20	17.5	18	2.8624250850141e-33	11	0.764787679612512	1	16.8685487312945	20	18	11	24	15	14	19	23	16	12	20	18
bindea_gs14	Mast cells	26/30	6.31994868987176e-27	7.52374844032352e-27	25	17.75	18	1.4834135835797e-19	11	0.677603577178132	1	10.027849516844	23	24	16	13	12	16	11	11	21	20	22	24
bindea_gs3	APM1	7/7	5.66676784793711e-76	2.02384565997754e-75	25	17.9166666666667	20.5	1.43194235735335e-85	2	0.488793784754725	1	23.5386749231022	15	19	23	3	18	22	23	22	2	25	24	19
bindea_gs27	Tgd cells	4/6	6.5097164494109e-72	1.8082545692808e-71	25	18.9166666666667	20	3.77953982079574e-77	3	0.478038031655462	1	21.6047973938254	22	15	22	23	16	25	18	18	3	24	25	16
bindea_gs13	Macrophages	32/33	7.98382253194432e-25	9.07252560448219e-25	25	19.25	20.5	5.36160017747193e-28	9	0.81313461823213	1	11.3554685876095	21	20	24	12	24	23	22	24	18	9	14	20
bindea_gs24	Tcm cells	31/39	1.26200947086531e-65	3.15502367716328e-65	25	20.25	22.5	2.34728637972211e-74	4	0.368863206165639	-1	14.4029747915641	11	22	25	20	25	24	24	25	4	18	23	22
