ID	NumGenes	Type	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logFC	Direction	Significance	camera	roast	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora	fry
hsa04120	135/137	Signaling	1.58845598547031e-123	3.22456565050473e-121	5	74.1666666666667	55	1.91833298908839e-100	1	0.446736371064055	-1	56.8200715864264	2	9	157	39	155	119	71	1	1	138	194	4
hsa04141	161/169	Signaling	6.95839026548258e-121	7.06276611946482e-119	70	54.75	40.5	4.83715819836277e-96	2	0.478368345716727	-1	60.0895292296889	15	32	70	43	70	78	4	2	6	110	189	38
hsa04080	205/277	Signaling	1.29110616442786e-118	8.73648504596187e-117	35	47.1666666666667	29	3.2157732203284e-94	3	0.770112408966	1	100	32	28	140	35	144	15	3	16	10	99	30	14
hsa03013	149/172	Signaling	2.75756925726457e-112	1.39946639806177e-110	5	84.4166666666667	42.5	5.07916341762497e-98	3	0.351124346923469	-1	38.2904700070362	3	11	200	5	194	148	74	4	3	167	197	7
hsa04114	108/113	Signaling	1.8323340928564e-111	7.43927641699699e-110	40	73.25	50	4.10418507812315e-98	2	0.574953894094418	-1	67.6494552181755	12	37	136	37	130	63	118	5	2	131	173	35
hsa00970	43/66	Signaling	8.75752485117251e-110	2.9629625746467e-108	20	67.8333333333333	43.5	2.46278092221815e-95	1	0.374162609109399	-1	40.3075007450606	13	19	133	1	133	83	68	10	8	140	187	19
hsa03015	81/91	Signaling	2.83572933511423e-109	8.22361507183127e-108	10	75.5	55	1.2822659995911e-97	4	0.398657673194893	-1	43.2920219252394	11	20	174	6	160	108	112	6	4	83	195	27
hsa04962	43/45	Signaling	2.44729670396418e-107	6.2100153863091e-106	10	74.75	63.5	7.54916047270942e-96	7	0.526033059673228	-1	58.6594413270535	49	83	67	125	41	39	144	8	7	60	188	86
hsa03060	22/23	Signaling	1.85704976828544e-101	4.18867892179939e-100	15	84.3333333333333	86	3.4363960667963e-92	13	0.268859409244584	-1	23.8927295514936	37	96	134	13	107	80	49	14	17	173	200	92
hsa03010	127/137	Signaling	7.83945352657004e-101	1.59140906589372e-99	5	60.3333333333333	57	2.34030752976918e-88	1	0.55358636784197	1	57.8711984618909	1	39	84	4	24	88	80	106	51	63	164	20
hsa05216	29/29	Disease	1.70588663297986e-98	3.14813624086282e-97	5	79.8333333333333	58.5	1.03189537020913e-89	1	0.762686389770565	-1	80.8363998474765	87	158	9	182	4	21	203	30	35	1	82	146
hsa03018	73/77	Signaling	2.74443583320662e-98	4.6426706178412e-97	55	92.5833333333333	80.5	2.47564049766863e-96	5	0.415437459797545	-1	40.049241488345	26	52	183	7	166	136	169	23	5	108	183	53
hsa05203	195/206	Disease	4.69730858728165e-98	7.33502802475519e-97	60	98	95.5	2.35171014853342e-90	3	0.586767427055018	-1	59.9546344420822	57	167	43	172	95	96	149	3	29	113	90	162
hsa03450	12/13	Signaling	5.46102660513497e-98	7.91848857744571e-97	50	68.5	51	4.40197824888805e-91	19	0.433552582386241	-1	42.0467487872576	46	34	121	19	80	55	141	47	25	77	143	34
hsa04920	66/70	Signaling	1.15700020536641e-97	1.56580694459588e-96	10	29.8333333333333	8	1.1384380206956e-62	2	0.828839104432465	1	87.8889786079147	42	8	6	116	8	6	2	12	134	4	18	2
hsa03008	67/87	Signaling	3.47917329289941e-97	4.20015950153868e-96	190	96.9166666666667	73.5	4.44459146928921e-93	3	0.357379628231055	-1	32.8408211392597	18	47	187	3	187	159	100	13	12	197	198	42
hsa03050	43/44	Signaling	3.51737495202747e-97	4.20015950153868e-96	170	73.75	42.5	8.63482758055955e-89	11	0.378845130119575	-1	35.327516181973	58	168	28	12	30	112	35	11	46	39	180	166
hsa04110	118/124	Signaling	1.43146954479481e-95	1.61437954218525e-94	185	92.6666666666667	91	6.92567602258508e-89	15	0.508805531988942	-1	49.4035494901868	16	67	143	36	118	105	124	15	44	182	185	77
hsa05110	50/54	Disease	1.98146522565026e-95	2.11703916214212e-94	195	127.333333333333	154	3.99122002484687e-92	9	0.399974492663386	-1	36.9481878910428	89	181	160	148	161	120	79	9	18	191	192	180
hsa04961	46/48	Signaling	7.55832957766834e-95	7.67170452133336e-94	85	77.75	76	7.46079564052133e-83	12	0.658930691104933	1	65.9642533222309	156	88	55	124	32	12	56	116	81	61	71	81
